Organism	keyword	hits
Talaromyces atroroseus	heat	27
Talaromyces atroroseus	mycotoxin	14
Talaromyces atroroseus	calcineurin	11
Talaromyces atroroseus	hsp70	7
Talaromyces atroroseus	hsp90	6
Talaromyces proteolyticus	mycotoxin	4
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	mycotoxin	4
Talaromyces atroroseus	aflatoxin	3
Talaromyces islandicus (Penicillium islandicum)	mycotoxin	2
Talaromyces proteolyticus	aflatoxin	2
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	heat	2
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	hsp70	2
Talaromyces amestolkiae	heat	1
Talaromyces atroroseus	trichothecene	1
Talaromyces islandicus (Penicillium islandicum)	aflatoxin	1
Talaromyces islandicus (Penicillium islandicum)	heat	1
Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	calcineurin	1
Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	hsp70	1
Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	hsp90	1
Talaromyces marneffei PM1	mycotoxin	1
Talaromyces pinophilus (Penicillium pinophilum)	heat	1
Talaromyces pinophilus (Penicillium pinophilum)	hsp90	1
Talaromyces pinophilus (Penicillium pinophilum)	trichothecene	1
Talaromyces proteolyticus	heat	1
Talaromyces proteolyticus	hsp70	1
Talaromyces rugulosus (Penicillium rugulosum)	aflatoxin	1
Talaromyces rugulosus (Penicillium rugulosum)	calcineurin	1
Talaromyces rugulosus (Penicillium rugulosum)	heat	1
Talaromyces rugulosus (Penicillium rugulosum)	trichothecene	1
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	hsp90	1
