NODE_1_length_1134506_cov_14.6.g1.t1_1	tr|A0A225BBX8|A0A225BBX8_9EURO	88.158	304	29	3	4	306	79	376	0.0	555
NODE_1_length_1134506_cov_14.6.g2.t1_1	tr|A0A225B3V0|A0A225B3V0_9EURO	85.924	341	37	2	1	335	1	336	0.0	578
NODE_1_length_1134506_cov_14.6.g3.t1_1	tr|A0A225B8I5|A0A225B8I5_9EURO	94.161	137	8	0	1	137	1	137	4.77e-87	251
NODE_1_length_1134506_cov_14.6.g4.t1_1	tr|A0A225BAI4|A0A225BAI4_9EURO	83.721	817	101	7	1	797	29	833	0.0	1347
NODE_1_length_1134506_cov_14.6.g5.t1_1	tr|A0A6V8H476|A0A6V8H476_TALPI	83.153	463	77	1	29	490	6	468	0.0	820
NODE_1_length_1134506_cov_14.6.g6.t1_1	tr|A0A364KSZ4|A0A364KSZ4_TALAM	31.532	111	54	5	27	123	108	210	3.1	29.3
NODE_1_length_1134506_cov_14.6.g7.t1_1	tr|A0A6V8H3S2|A0A6V8H3S2_TALPI	88.587	368	42	0	3	370	2	369	0.0	674
NODE_1_length_1134506_cov_14.6.g8.t1_1	tr|A0A225AS49|A0A225AS49_9EURO	89.969	319	32	0	1	319	1	319	0.0	608
NODE_1_length_1134506_cov_14.6.g9.t1_1	tr|A0A225AXQ4|A0A225AXQ4_9EURO	92.241	348	27	0	1	348	1	348	0.0	681
NODE_1_length_1134506_cov_14.6.g10.t1_1	tr|B6QJL1|B6QJL1_TALMQ	85.328	518	55	1	5	522	4	500	0.0	923
NODE_1_length_1134506_cov_14.6.g11.t1_1	tr|A0A698XNF4|A0A698XNF4_TALPI	94.054	370	21	1	324	692	28	397	0.0	730
NODE_1_length_1134506_cov_14.6.g12.t1_1	tr|A0A698XPT4|A0A698XPT4_TALPI	77.157	626	133	7	146	769	30	647	0.0	939
NODE_1_length_1134506_cov_14.6.g13.t1_1	tr|A0A698XM16|A0A698XM16_TALPI	83.700	546	67	7	1	531	1	539	0.0	902
NODE_1_length_1134506_cov_14.6.g14.t1_1	tr|A0A364KV54|A0A364KV54_TALAM	93.548	527	34	0	1	527	1	527	0.0	1025
NODE_1_length_1134506_cov_14.6.g15.t1_1	tr|A0A7H8QM36|A0A7H8QM36_TALRU	74.854	171	26	2	3	156	61	231	4.83e-83	253
NODE_1_length_1134506_cov_14.6.g16.t1_1	tr|A0A7H8QM36|A0A7H8QM36_TALRU	69.091	55	17	0	67	121	7	61	1.36e-15	72.4
NODE_1_length_1134506_cov_14.6.g17.t1_1	tr|A0A225ATY4|A0A225ATY4_9EURO	94.429	718	29	5	1	715	1	710	0.0	1305
