From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)
B8MU61	B8MU61	unreviewed	B8MU61_TALSN	HAT C-terminal dimerisation domain-containing protein	TSTA_109590	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	1175		DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]
A0AAD4KQC1	A0AAD4KQC1	unreviewed	A0AAD4KQC1_9EURO	lytic cellulose monooxygenase (C4-dehydrogenating) (EC 1.14.99.56)	BGW36DRAFT_360411	Talaromyces proteolyticus	228	cellulose catabolic process [GO:0030245]	extracellular region [GO:0005576]; hydrolase activity [GO:0016787]; monooxygenase activity [GO:0004497]; cellulose catabolic process [GO:0030245]	hydrolase activity [GO:0016787]; monooxygenase activity [GO:0004497]
B6Q9F9	B6Q9F9	unreviewed	B6Q9F9_TALMQ	C3H1-type domain-containing protein	PMAA_071840	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	271		membrane [GO:0016020]; zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
A0A364L467	A0A364L467	unreviewed	A0A364L467_TALAM	Major facilitator superfamily (MFS) profile domain-containing protein	BHQ10_006596	Talaromyces amestolkiae	678		plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
B8MK56	B8MK56	unreviewed	B8MK56_TALSN	Probable beta-glucosidase G (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase G) (Cellobiase G) (Gentiobiase G)	TSTA_043460	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	618	cellulose catabolic process [GO:0030245]	extracellular region [GO:0005576]; beta-glucosidase activity [GO:0008422]; cellulose catabolic process [GO:0030245]	beta-glucosidase activity [GO:0008422]
A0A7H8QQW5	A0A7H8QQW5	unreviewed	A0A7H8QQW5_TALRU	Mitochondrial resolvase Ydc2 catalytic domain-containing protein	TRUGW13939_03383	Talaromyces rugulosus (Penicillium rugulosum)	1008	protein kinase A signaling [GO:0010737]	nucleic acid binding [GO:0003676]; protein kinase A signaling [GO:0010737]	nucleic acid binding [GO:0003676]
A0A0B8MYU8	A0A0B8MYU8	unreviewed	A0A0B8MYU8_TALPI	Cytochrome P450	TCE0_043r15906	Talaromyces pinophilus (Penicillium pinophilum)	565		heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A0B8MYF7	A0A0B8MYF7	unreviewed	A0A0B8MYF7_TALPI	Major facilitator superfamily (MFS) profile domain-containing protein	TCE0_043f15903	Talaromyces pinophilus (Penicillium pinophilum)	913		plasma membrane [GO:0005886]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; transmembrane transporter activity [GO:0022857]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; transmembrane transporter activity [GO:0022857]
A0A1Q5Q6T9	A0A1Q5Q6T9	unreviewed	A0A1Q5Q6T9_9EURO	AB hydrolase-1 domain-containing protein	UA08_09316	Talaromyces atroroseus	356	biosynthetic process [GO:0009058]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; biosynthetic process [GO:0009058]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]
A0A1Q5Q6R7	A0A1Q5Q6R7	unreviewed	A0A1Q5Q6R7_9EURO	VWFA domain-containing protein	UA08_09319	Talaromyces atroroseus	787			
A0A1Q5Q6J8	A0A1Q5Q6J8	unreviewed	A0A1Q5Q6J8_9EURO	NmrA-like domain-containing protein	UA08_09325	Talaromyces atroroseus	331		oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
A0AAD4L1T6	A0AAD4L1T6	unreviewed	A0AAD4L1T6_9EURO	GLEYA domain-containing protein	BGW36DRAFT_290246	Talaromyces proteolyticus	406			
A0A1Q5Q6M6	A0A1Q5Q6M6	unreviewed	A0A1Q5Q6M6_9EURO	Uncharacterized protein	UA08_09329	Talaromyces atroroseus	406			
A0AAD4KHV7	A0AAD4KHV7	unreviewed	A0AAD4KHV7_9EURO	2-deoxyglucose-6-phosphate phosphatase	BGW36DRAFT_384792	Talaromyces proteolyticus	210		phosphatase activity [GO:0016791]	phosphatase activity [GO:0016791]
A0AAD4PW73	A0AAD4PW73	unreviewed	A0AAD4PW73_9EURO	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase)	BGW36DRAFT_305585	Talaromyces proteolyticus	456	D-serine catabolic process [GO:0036088]	D-serine ammonia-lyase activity [GO:0008721]; D-serine catabolic process [GO:0036088]	D-serine ammonia-lyase activity [GO:0008721]
A0AAD4Q1V8	A0AAD4Q1V8	unreviewed	A0AAD4Q1V8_9EURO	Chaperonin 10-like protein	BGW36DRAFT_377290	Talaromyces proteolyticus	353		oxidoreductase activity, acting on NAD(P)H [GO:0016651]	oxidoreductase activity, acting on NAD(P)H [GO:0016651]
A0A225B6K2	A0A225B6K2	unreviewed	A0A225B6K2_9EURO	Uncharacterized protein	UA08_02536	Talaromyces atroroseus	215			
A0A1Q5Q6G0	A0A1Q5Q6G0	unreviewed	A0A1Q5Q6G0_9EURO	GP-PDE domain-containing protein	UA08_09296	Talaromyces atroroseus	976	glycerophospholipid catabolic process [GO:0046475]	glycerophosphocholine phosphodiesterase activity [GO:0047389]; glycerophospholipid catabolic process [GO:0046475]	glycerophosphocholine phosphodiesterase activity [GO:0047389]
A0A364KSS6	A0A364KSS6	unreviewed	A0A364KSS6_TALAM	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	BHQ10_002620	Talaromyces amestolkiae	420	isocitrate metabolic process [GO:0006102]; NADP metabolic process [GO:0006739]; tricarboxylic acid cycle [GO:0006099]	mitochondrion [GO:0005739]; isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; isocitrate metabolic process [GO:0006102]; NADP metabolic process [GO:0006739]; tricarboxylic acid cycle [GO:0006099]	isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]
A0A1Q5Q6N4	A0A1Q5Q6N4	unreviewed	A0A1Q5Q6N4_9EURO	Uncharacterized protein	UA08_09422	Talaromyces atroroseus	176			
