Organism	Entry	Gene.Ontology..GO.	Protein.names	keyword
Talaromyces atroroseus	A0A1Q5Q9M3	mycotoxin biosynthetic process [GO:0043386]	Tat pathway signal sequence	mycotoxin
Talaromyces atroroseus	A0A225AYC4	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Tat pathway signal sequence	mycotoxin
Talaromyces atroroseus	A0A225B6Q9	acetyltransferase activity [GO:0016407]; mycotoxin biosynthetic process [GO:0043386]	15-O-acetyltransferase Tri3	mycotoxin
Talaromyces atroroseus	A0A225BAX7	prenyltransferase activity [GO:0004659]; alcohol biosynthetic process [GO:0046165]; isoprenoid biosynthetic process [GO:0008299]; mycotoxin biosynthetic process [GO:0043386]	Geranylgeranyl pyrophosphate synthase	mycotoxin
Talaromyces atroroseus	A0A225ALN6	membrane [GO:0016020]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]; gamma-aminobutyric acid catabolic process [GO:0009450]; mycotoxin biosynthetic process [GO:0043386]	Aldehyde dehydrogenase domain-containing protein	mycotoxin
Talaromyces atroroseus	A0A225A662	mycotoxin biosynthetic process [GO:0043386]	Tat pathway signal sequence	mycotoxin
Talaromyces atroroseus	A0A1Q5QBA6	transferase complex [GO:1990234]; prenyltransferase activity [GO:0004659]; alcohol biosynthetic process [GO:0046165]; isoprenoid biosynthetic process [GO:0008299]; mycotoxin biosynthetic process [GO:0043386]; ubiquinone biosynthetic process [GO:0006744]	Putative hexaprenyl pyrophosphate synthase, mitochondrial	mycotoxin
Talaromyces atroroseus	A0A225APG7	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Tat pathway signal sequence	mycotoxin
Talaromyces atroroseus	A0A225ARW8	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Uncharacterized protein	mycotoxin
Talaromyces atroroseus	A0A225AFW1	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Tat pathway signal sequence	mycotoxin
Talaromyces atroroseus	A0A1Q5Q982	membrane [GO:0016020]; acyltransferase activity [GO:0016746]; lipid metabolic process [GO:0006629]; mycotoxin biosynthetic process [GO:0043386]	Phospholipid/glycerol acyltransferase domain-containing protein	mycotoxin
Talaromyces atroroseus	A0A225AT45	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Uncharacterized protein	mycotoxin
Talaromyces atroroseus	A0A225AJF6	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Uncharacterized protein	mycotoxin
Talaromyces atroroseus	A0A225AHK2	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Oxidase ustYa	mycotoxin
Talaromyces islandicus (Penicillium islandicum)	A0A0U1LR74	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]; mycotoxin biosynthetic process [GO:0043386]	Hydroxylase cctR (EC 1.-.-.-) (Cyclochlorotine biosynthesis protein R)	mycotoxin
Talaromyces islandicus (Penicillium islandicum)	A0A0U1M9B1	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Cell surface glycoprotein 1	mycotoxin
Talaromyces marneffei PM1	A0A093VA30	oxidoreductase activity [GO:0016491]; mycotoxin biosynthetic process [GO:0043386]	Uncharacterized protein	mycotoxin
Talaromyces proteolyticus	A0AAD4L2F5	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Uncharacterized protein	mycotoxin
Talaromyces proteolyticus	A0AAD4Q1P5	prenyltransferase activity [GO:0004659]; alcohol biosynthetic process [GO:0046165]; isoprenoid biosynthetic process [GO:0008299]; mycotoxin biosynthetic process [GO:0043386]	(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.1) (EC 2.5.1.10) (EC 2.5.1.29) (Dimethylallyltranstransferase) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase)	mycotoxin
Talaromyces proteolyticus	A0AAD4PXG5	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Tat pathway signal sequence	mycotoxin
Talaromyces proteolyticus	A0AAD4L4M3	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Uncharacterized protein	mycotoxin
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	B8MJT9	mycotoxin biosynthetic process [GO:0043386]	Tat pathway signal sequence	mycotoxin
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	B8M3A1	mycotoxin biosynthetic process [GO:0043386]	Uncharacterized protein	mycotoxin
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	B8M5T8	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Oxidase ustYa	mycotoxin
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	B8MGU6	membrane [GO:0016020]; mycotoxin biosynthetic process [GO:0043386]	Tat pathway signal sequence	mycotoxin
Talaromyces atroroseus	A0A1Q5QAU3		Aflatoxin regulatory protein domain-containing protein	aflatoxin
Talaromyces atroroseus	A0A225B1X4		Aflatoxin regulatory protein domain-containing protein	aflatoxin
Talaromyces atroroseus	A0A225AIN9	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; aflatoxin biosynthetic process [GO:0045122]	Zn(2)-C6 fungal-type domain-containing protein	aflatoxin
Talaromyces islandicus (Penicillium islandicum)	A0A0U1M9W5	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	Aflatoxin B1 aldehyde reductase member 3	aflatoxin
Talaromyces proteolyticus	A0AAD4KPB0		Aflatoxin regulatory protein domain-containing protein	aflatoxin
Talaromyces proteolyticus	A0AAD4L2H9	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	MFS aflatoxin efflux pump	aflatoxin
Talaromyces rugulosus (Penicillium rugulosum)	A0A7H8QLA9	nucleus [GO:0005634]; DNA binding [GO:0003677]; aflatoxin biosynthetic process [GO:0045122]; regulation of DNA-templated transcription [GO:0006355]	Aflatoxin regulatory protein domain-containing protein	aflatoxin
Talaromyces atroroseus	A0A225AIU2	acyltransferase activity [GO:0016746]	Trichothecene 3-O-acetyltransferase-like N-terminal domain-containing protein	trichothecene
Talaromyces pinophilus (Penicillium pinophilum)	A0A478EBH7	acyltransferase activity [GO:0016746]	Trichothecene 3-O-acetyltransferase-like N-terminal domain-containing protein	trichothecene
Talaromyces rugulosus (Penicillium rugulosum)	A0A7H8QLE3	acyltransferase activity [GO:0016746]	Trichothecene 3-O-acetyltransferase-like N-terminal domain-containing protein	trichothecene
Talaromyces amestolkiae	A0A364L138	mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]	10 kDa heat shock protein, mitochondrial	heat
Talaromyces atroroseus	A0A1Q5QCB1	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) [GO:0005946]; cytosol [GO:0005829]; alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose-phosphatase activity [GO:0004805]; cellular response to heat [GO:0034605]; cellular response to nitrogen starvation [GO:0006995]; fungal-type cell wall organization [GO:0031505]; positive regulation of autophagy [GO:0010508]; trehalose biosynthetic process [GO:0005992]	Uncharacterized protein	heat
Talaromyces atroroseus	A0A225B5B1	negative cofactor 2 complex [GO:0017054]; chromatin binding [GO:0003682]; core promoter sequence-specific DNA binding [GO:0001046]; protein heterodimerization activity [GO:0046982]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TBP-class protein binding [GO:0017025]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; cellular response to heat [GO:0034605]; negative regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0017055]; negative regulation of transcription by RNA polymerase III [GO:0016480]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA polymerase II preinitiation complex assembly [GO:0051123]	NCT transcriptional regulatory complex subunit B (Negative cofactor 2 B)	heat
Talaromyces atroroseus	A0A225AL87	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) [GO:0005946]; cytosol [GO:0005829]; alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose-phosphatase activity [GO:0004805]; cellular response to heat [GO:0034605]; trehalose biosynthetic process [GO:0005992]	alpha,alpha-trehalose-phosphate synthase (UDP-forming) (EC 2.4.1.15)	heat
Talaromyces atroroseus	A0A225AU38	cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; protein aggregate center [GO:0140453]; misfolded protein binding [GO:0051787]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; cellular response to starvation [GO:0009267]; chaperone cofactor-dependent protein refolding [GO:0051085]; detection of misfolded protein [GO:0002236]; misfolded protein transport [GO:0070843]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; nuclear protein quality control by the ubiquitin-proteasome system [GO:0071630]; translational initiation [GO:0006413]; tRNA import into nucleus [GO:0035719]	J domain-containing protein	heat
Talaromyces atroroseus	A0A225AQC6	cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	Heat shock protein hsp88	heat
Talaromyces atroroseus	A0A225B120	cytosol [GO:0005829]; nucleolar peripheral inclusion body [GO:0140602]; protein aggregate center [GO:0140453]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; misfolded protein binding [GO:0051787]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; cellular heat acclimation [GO:0070370]; cellular response to misfolded protein [GO:0071218]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein catabolic process [GO:0030163]; protein refolding [GO:0042026]; protein unfolding [GO:0043335]	Heat shock protein hsp98	heat
Talaromyces atroroseus	A0A1Q5QAY5	GET complex [GO:0043529]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; guanyl-nucleotide exchange factor activity [GO:0005085]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; cellular response to oxidative stress [GO:0034599]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; post-translational protein targeting to endoplasmic reticulum membrane [GO:0006620]; response to heat [GO:0009408]; response to metal ion [GO:0010038]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]	ATPase get3	heat
Talaromyces atroroseus	A0A1Q5Q8F6	cytoplasm [GO:0005737]; nucleus [GO:0005634]; heat shock protein binding [GO:0031072]	J domain-containing protein	heat
Talaromyces atroroseus	A0A225ATY4	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	Heat shock 70 kDa protein 12A	heat
Talaromyces atroroseus	A0A225AHC2	mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated protein complex assembly [GO:0051131]; protein import into mitochondrial intermembrane space [GO:0045041]; protein refolding [GO:0042026]	Heat shock protein, mitochondrial	heat
Talaromyces atroroseus	A0A225B649		Heat shock 70 kDa protein 12A	heat
Talaromyces atroroseus	A0A225AAK3		Heat shock protein	heat
Talaromyces atroroseus	A0A225APF2	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) [GO:0005946]; cytosol [GO:0005829]; alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose-phosphatase activity [GO:0004805]; cellular response to heat [GO:0034605]; trehalose biosynthetic process [GO:0005992]	Trehalose-6-phosphate synthase (EC 2.4.1.15) (UDP-glucose-glucosephosphate glucosyltransferase)	heat
Talaromyces atroroseus	A0A225B127		Heat shock protein	heat
Talaromyces atroroseus	A0A225B4Z8	heat shock protein binding [GO:0031072]; lipid binding [GO:0008289]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; protein folding [GO:0006457]	Uncharacterized protein	heat
Talaromyces atroroseus	A0A225AJ11	cytosol [GO:0005829]; nucleus [GO:0005634]; transcription corepressor activity [GO:0003714]; cellular heat acclimation [GO:0070370]	Heat shock factor-binding protein 1	heat
Talaromyces atroroseus	A0A225AFP6	cytosol [GO:0005829]; nucleolar peripheral inclusion body [GO:0140602]; protein aggregate center [GO:0140453]; ATP binding [GO:0005524]; Hsp70 protein binding [GO:0030544]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; cellular response to heat [GO:0034605]; cytoplasm protein quality control [GO:0140455]; protein aggregate center assembly [GO:0140454]; protein refolding [GO:0042026]	Mitochondrial protein import protein mas5	heat
Talaromyces atroroseus	A0A225AL60	mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; misfolded protein binding [GO:0051787]; cellular response to heat [GO:0034605]; mitochondrial genome maintenance [GO:0000002]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; protein unfolding [GO:0043335]	Heat shock protein 78, mitochondrial	heat
Talaromyces atroroseus	A0A225ACS0	membrane [GO:0016020]; TRC complex [GO:0072380]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; post-translational protein targeting to endoplasmic reticulum membrane [GO:0006620]; response to heat [GO:0009408]	SGTA homodimerisation domain-containing protein	heat
Talaromyces atroroseus	A0A225AD68	mitochondrial intermembrane space [GO:0005758]; mitochondrial nucleoid [GO:0042645]; post-mRNA release spliceosomal complex [GO:0071014]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; DNA replication origin binding [GO:0003688]; protein-folding chaperone binding [GO:0051087]; single-stranded DNA binding [GO:0003697]; unfolded protein binding [GO:0051082]; 'de novo' protein folding [GO:0006458]; chaperone-mediated protein complex assembly [GO:0051131]; mitochondrial genome maintenance [GO:0000002]; protein import into mitochondrial intermembrane space [GO:0045041]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]	Heat shock protein 60	heat
Talaromyces atroroseus	A0A1Q5Q936	cytoplasm [GO:0005737]; ATPase inhibitor activity [GO:0042030]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; mRNA binding [GO:0003729]; protein folding [GO:0006457]; protein targeting to mitochondrion [GO:0006626]	Heat shock protein sti1-like protein	heat
Talaromyces atroroseus	A0A225ALL3	cytoplasm [GO:0005737]; nucleus [GO:0005634]; heat shock protein binding [GO:0031072]; protein kinase binding [GO:0019901]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein stabilization [GO:0050821]	Hsp90 chaperone protein kinase-targeting subunit	heat
Talaromyces atroroseus	A0A225B018	cytoplasm [GO:0005737]; nucleus [GO:0005634]; heat shock protein binding [GO:0031072]	J domain-containing protein	heat
Talaromyces atroroseus	A0A225AYA3	cellular bud neck septin collar [GO:0032174]; incipient cellular bud site [GO:0000131]; kinetochore [GO:0000776]; mating projection base [GO:0001400]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleolus [GO:0005730]; protein phosphatase type 1 complex [GO:0000164]; spindle pole body [GO:0005816]; protein serine/threonine phosphatase activity [GO:0004722]; ascospore formation [GO:0030437]; chitin biosynthetic process [GO:0006031]; chromosome segregation [GO:0007059]; DNA damage checkpoint signaling [GO:0000077]; DNA replication checkpoint signaling [GO:0000076]; intracellular monoatomic ion homeostasis [GO:0006873]; mitotic spindle assembly checkpoint signaling [GO:0007094]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; positive regulation of exit from mitosis [GO:0031536]; positive regulation of mitotic actomyosin contractile ring assembly [GO:1903501]; protein localization to kinetochore [GO:0034501]; regulation of cell budding [GO:0007116]; regulation of cell shape [GO:0008360]; regulation of glycogen metabolic process [GO:0070873]; regulation of protein localization to cell division site involved in cytokinesis [GO:1901901]; replication fork processing [GO:0031297]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; telomere maintenance [GO:0000723]	Serine/threonine-protein phosphatase (EC 3.1.3.16)	heat
Talaromyces atroroseus	A0A225ARC7	cytosol [GO:0005829]; eukaryotic translation initiation factor 2B complex [GO:0005851]; guanyl-nucleotide exchange factor complex [GO:0032045]; guanyl-nucleotide exchange factor activity [GO:0005085]; translation initiation factor activity [GO:0003743]; cytoplasmic translational initiation [GO:0002183]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of cellular response to amino acid starvation [GO:1903833]; positive regulation of cellular response to heat [GO:1900036]; positive regulation of translational initiation [GO:0045948]	Translation initiation factor eIF2B subunit alpha (eIF2B GDP-GTP exchange factor subunit alpha)	heat
Talaromyces atroroseus	A0A225ACV6	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) [GO:0005946]; cytosol [GO:0005829]; alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose-phosphatase activity [GO:0004805]; cellular response to heat [GO:0034605]; trehalose biosynthetic process [GO:0005992]	Uncharacterized protein	heat
Talaromyces atroroseus	A0A225ADS2	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to heat [GO:0009408]	DnaJ homolog 1, mitochondrial	heat
